hr,Megan Thomas,Careers adviser,84729
hr,Thomas Novak,Educational psychologist,35146
marketing,Synchronized systematic portal,18784,75.39
hr,Joseph Crosby,Claims inspector/assessor,97118
hr,Tina Stewart,Physiological scientist,34627
hr,Timothy Dorsey,Field trials officer,36587
hr,Joseph Day,Outdoor activities/education manager,61318
hr,Heather Foster,Architect,37285
hr,Brian Henderson,Accountant, chartered management,75584
hr,Diana West,Homeopath,61724
hr,Ryan Griffin,Producer, radio,40195
hr,Christopher Bryan,Scientific laboratory technician,59230
hr,Mitchell Lopez,Insurance underwriter,80047
hr,Benjamin Moran,Journalist, newspaper,36950
hr,Vanessa Fox,Farm manager,42857
marketing,Total 24hour throughput,12788,87.07
hr,Gabriela Humphrey,Conservation officer, historic buildings,50905
marketing,Monitored asynchronous knowledge user,51857,31.82
hr,Natasha Cunningham,Clinical biochemist,41924
hr,James Stanley,Radio producer,31276
hr,Chelsea Howard,Research officer, government,55933
